name,id,homepage,description,license,platforms,export_cs_fmi1,export_cs_fmi2,export_me_fmi1,export_me_fmi2,import_cs_fmi1,import_cs_fmi2,import_me_fmi1,import_me_fmi2
20-sim,20sim,https://www.20sim.com/,Modeling and simulation program for mechatronic systems and control,commercial,darwin64 linux32 linux64 win32 win64,available,available,,,available,available,,
20-sim 4C,20sim4C,https://www.20sim4C.com/,Rapid prototyping tool for embedded hardware and industrial controllers,commercial,win64,,,,,planned,planned,planned,planned
@Source,AtSource,https://podiumtechnology.co.uk/atsource-targets.htm#Modelisar,Simulink via @Source,commercial,win64,,,available,,,,,
Adams,Adams,https://www.mscsoftware.com/Products/CAE-Tools/Adams.aspx,High end multibody dynamics simulation software from MSC Software,commercial,linux64 win64,available,available,,,available,available,available,available
ADI ADEPT Framework,adept-framework,https://www.adi.com/products/adept-framework/,Industrial data and control software platform built around the concept of a data framework that links real-time Linux servers as a distributed resource and provides desktop client control of the time-deterministic computing and data handling capability,commercial,linux64 win32 win64,,,,,available,available,available,available
AGX Dynamics,agx_dynamics,https://www.algoryx.se/products/agx-dynamics,"AGX Dynamics is a professional multi-purpose physics engine for simulators, engineering, large scale granular simulators and more",commercial,win64,available,available,,,,,,
Altair Activate,solidThinking_Activate,https://solidthinking.com/product/activate,"Software environment for modeling, simulation and analysis of multi-disciplinary systems from Altair",commercial, linux64 win64,,available,,available,available,available,available,available
Altair MotionSolve,Altair_MotionSolve,https://www.altair.com/motionsolve/,"MotionSolve is a solver that performs 3D multi-body system simulations to predict the dynamic response and optimize the performance of products that move.",commercial, linux64 win64,,available,,,,available,,available
Altair MotionView,Altair_MotionView,https://www.altair.com/motionsolve/motionview/,"MotionView is a graphical environment for building multibody system models and for visualizing motion simulation results using animations and plots.",commercial, linux64 win64,,available,,,,available,,available
ANSYS CFX, ANSYS_CFX,https://www.ansys.com/products/fluids/ansys-cfx,ANSYS CFX is a general purpose CFD package with advanced turbomachinery capabilities,commercial,win64 linux64,,,,,,available,,
ANSYS DesignXplorer,ANSYSDesignXplorer,https://www.ansys.com/Products/Platform/ANSYS-DesignXplorer,DesignXplorer is able to export a computed response surface as an FMU,commercial,win64,,,available,,,,,
ANSYS SCADE Display,ANSYS_SCADE_Display,https://www.ansys.com/products/embedded-software/ansys-scade-display,"SCADE Display facilitates embedded graphics, display and HMI development and certified code generation for safety-critical displays from ANSYS",commercial,win64,planned,planned,available,available,,,,
ANSYS SCADE Suite,ANSYS_SCADE_Suite,https://www.ansys.com/products/embedded-software/ansys-scade-suite,"SCADE Suite is a model-based development environment with certified code generation for safety critical embedded applications from ANSYS",commercial,win64,planned,planned,available,available,,,,
ANSYS Simplorer,ANSYS_Simplorer,https://www.ansys.com/Products/Systems/ANSYS-Simplorer,"ANSYS Simplorer is a multi-domain, multi-technology simulation program from ANSYS",commercial,win32 win64,planned,planned,available,available,available,available,available,available
AutoFOCUS3 (AF3),AF3,https://www.fortiss.org/en/publications/software/autofocus-3,"AutoFOCUS3 is a model-based tool and research platform for the design, development and validation of safety-critical embedded systems developed at fortiss",osi,linux64 win64,,available,,,,available,,available
